Incident ID,Incident Date,Address,City Or County,State,Full Address,Latitude,Longitude,Total_Killed,Total_Injured
1896252,6-Jan-21,10010 Ellis Rd,Manassas,Virginia,"10010 Ellis Rd, Manassas, Virginia",38.7374352,-77.4286459,3,3
1894822,4-Jan-21,1600 block of N Galvez St,New Orleans,Louisiana,"1600 block of N Galvez St, New Orleans, Louisiana",29.9756745,-90.0698773,0,4
1894979,4-Jan-21,1225 S 78th St,Tampa,Florida,"1225 S 78th St, Tampa, Florida",27.9367999,-82.3690376,0,5
1894941,4-Jan-21,1828 NW 38th Ave,Fort Lauderdale (Lauderhill),Florida,"1828 NW 38th Ave, Fort Lauderdale (Lauderhill), Florida",26.1488122,-80.1995457,0,7
1893953,3-Jan-21,NE 181st Ave and NE San Rafael St,Gresham,Oregon,"NE 181st Ave and NE San Rafael St, Gresham, Oregon",45.5371044,-122.4772596,0,4
1893327,3-Jan-21,2900 Travis St,Houston,Texas,"2900 Travis St, Houston, Texas",29.7437558,-95.3771472,1,4
1893754,3-Jan-21,3632 NW 25th Ave,Miami,Florida,"3632 NW 25th Ave, Miami, Florida",25.8096843,-80.2386226,0,6
1893601,3-Jan-21,6900 block of Jewella Ave,Shreveport,Louisiana,"6900 block of Jewella Ave, Shreveport, Louisiana",32.4443755,-93.798176,2,3
1893877,3-Jan-21,1200 block of Liberty St,Santa Barbara,California,"1200 block of Liberty St, Santa Barbara, California",34.4215939,-119.6710195,2,2
1893744,3-Jan-21,10525 NW 24th Ave,Miami,Florida,"10525 NW 24th Ave, Miami, Florida",25.8708616,-80.2389276,0,8
1892034,1-Jan-21,3211 Towson Ave,Fort Smith,Arkansas,"3211 Towson Ave, Fort Smith, Arkansas",35.3529093,-94.4217055,0,7
1892704,1-Jan-21,2650 Dumas Dr,Amarillo,Texas,"2650 Dumas Dr, Amarillo, Texas",35.241882,-101.8302858,1,3
1892114,1-Jan-21,2637 S Walker St,Sioux City,Iowa,"2637 S Walker St, Sioux City, Iowa",42.4629178,-96.3317879,1,4
1891720,1-Jan-21,1000 block of Monroe St,Galesburg,Illinois,"1000 block of Monroe St, Galesburg, Illinois",40.959206,-90.3817433,0,4
